,Comment,Date
43,"Hi, I attended the second workshop on Vision 2040 in downtown Raleigh last night, and am interested in talking to someone about the growth strategy as it relates to additional concessions andconcessions management contracts.I am building an app that would allow travelers to pre-order food for pick-up at the concession or at the gate, and am interested in understanding the splitbetween HMSHost and independent vendors, and what the growth strategy looks like as it relates to 2040. Given the RDU traveler profile and the growing needs of the on-demand economy, Iam confident that technology like this would thrive at the airport, and drive retention and engagement.I look forward to connecting with someone about this soon. I can also be reached at...for further conversations. Thanks!",7/1/2015
44,How can we get on an email list to receive notices of future public meetings on RDU's expansion plans. Thank you in advance for info.,7/1/2015
45,"Hi, I attended the second workshop on Vision 2040 in downtown Raleigh last night, and am interested in talking to someone about the growth strategy as it relates to additional concessions andconcessions management contracts. I am building an app that would allow travelers to pre-order food for pick-up at the concession or at the gate, and am interested in understanding the splitbetween HMSHost and independent vendors, and what the growth strategy looks like as it relates to 2040. Given the RDU traveler profile and the growing needs of the on-demand economy, Iam confident that technology like this would thrive at the airport, and drive retention and engagement. _x000D__x000D_I look forward to connecting with someone about this soon. I can also be reached at (610) 637-6809 for further conversations. _x000D__x000D_Thanks!",7/2/2015
46,"This is something to consider to the Master Plan Vision 2040.Design and build short range monorails to and from all passenger parking locations scattered throughout the airport property.Maybe a one goes directly to the rental car area. Perhaps amonorail skyway connector between terminals 1 and 2 for passengers who have to transition to different flights with very little layover time. Some example of is seen at Atlanta Hartsfield, Dallas-Fort Worth, and San Francisco Airports.Back in the old days (1950's) eager spectators were able to view takeoffs and landings from observation area with unobstructed view from atop a terminal building. Times of course haschanged since then. The current observation park view is obstructed by buildings disallowing viewers to see planes takeoff or land beautifully. Somehow make it possible for non-ticket personsa different separate access to an enclosed observation deck on top of a terminal building.Finally, consider putting solar panels on top of the buildings. The amount of energy produced can reduce the airport's carbon footprint on the environment. Usher the airport into an era ofcarbon reduction with increased recycling programs and awarness. Such as food waste can be used for compost, increased plastic bottle recycling, and reduced construction waste by recyclingold building materials. Introduce greener vehicles on the tarmac and at the gates. Maybe make the Brier Creek Resevior crystal blue again (Just a wish).I would like to be a part of this planning. This would be a great vision for the airport to lead other airports into an era of carbon footprint reduction and beyond.Best Regards,This is the vision I see at the airport.",7/6/2015
47,"I'm so sad I missed this. I hope better accommodations for families , particularly lactating women were discussed. RDU desperately needs clean spaces with a table top and outlets set aside fornursing mothers to pump milk or nurse. Those family bathrooms you point people to are not adequate. Looks like Fenway Park is taking this need seriously. wpri.com/2015/06/30/fenwa…Fenway Park has hosted the World Series 10 times since it’s opening in 1912, and now it's playing host again. But this time, to breastfeedin… Fenway Park first MLB stadium to offer lactation",7/6/2015
48,"This is something to consider to the Master Plan Vision 2040.Design and build short range monorails to and from all passenger parking locations scattered throughout the airport property. Maybe a one goes directly to the rental car area. Perhaps amonorail skyway connector between terminals 1 and 2 for passengers who have to transition to different flights with very little layover time. Some example of is seen at Atlanta Hartsfield, Dallas-Fort Worth, and San Francisco Airports.Back in the old days (1950's) eager spectators were able to view takeoffs and landings from observation area with unobstructed view from atop a terminal building. Times of course haschanged since then. The current observation park view is obstructed by buildings disallowing viewers to see planes takeoff or land beautifully. Somehow make it possible for non-ticket personsa different separate access to an enclosed observation deck on top of a terminal building.Finally, consider putting solar panels on top of the buildings. The amount of energy produced can reduce the airport's carbon footprint on the environment. Usher the airport into an era ofcarbon reduction with increased recycling programs and awarness. Such as food waste can be used for compost, increased plastic bottle recycling, and reduced construction waste by recyclingold building materials. Introduce greener vehicles on the tarmac and at the gates. Maybe make the Brier Creek Resevior crystal blue again (Just a wish).I would like to be a part of this planning. This would be a great vision for the airport to lead other airports into an era of carbon footprint reduction and beyond.Best Regards,This is the vision I see at the airport.",7/6/2015
49,"What steps (if any) will be taken to attract airlines to place ""hubs"" at RDU. Seeing what it has done for other cities, it seems like it should be considered.",7/14/2015
50,"What steps (if any) will be taken to attract airlines to place ""hubs"" at RDU. Seeing what it has done for other cities, it seems like it should be considered.",7/15/2015
51,"I've been mountain biking in the Triangle for more than 15 years. Crabtree Park is an essential recreational resource in the area due to it's location, skill level required, and facilities.It's an unfortunate reality that the land might be commercially developed. If it is developed, and the mountain biking trails are removed, then a comparable or better facility in the same areashould be developed. A mountain bike park, with restrooms and adequate parking, on airport or park property would be required - to include trails for all levels of bikers. This would not onlybenefit thousands of citizens and taxpayers who work or live near RTP, but it would enhance the quality of life in the area, and bring economic benefits as well.",7/20/2015
52,"1. RDUAA should confine its activities to the purposes for which it was chartered by the General Assembly, i.e. building, maintaining, and operating an airport. To engage in commercial realestate development using excess RDUAA property is, at minimum, a distraction for the board and staff.2. Do not move rental car operations into the parking garages. Recent experience shows that the garages can barely handle demand from the public for parking near the terminals. When theeconomy was slow in 2009-2010 there may have been unused parking places, but that's no longer true. If there has to be a CONRAC, then build a CONRAC -- and be sure that its entire cost isrecovered from the rental car companies.3. Mass transit into the airport must be improved.4. Cease the combativeness that we saw with the newspaper vending boxes and are now seeing with Uber.",7/20/2015
53,"1. RDUAA should confine its activities to the purposes for which it was chartered by the General Assembly, i.e. building, maintaining, and operating an airport. To engage in commercial realestate development using excess RDUAA property is, at minimum, a distraction for the board and staff._x000D__x000D_2. Do not move rental car operations into the parking garages. Recent experience shows that the garages can barely handle demand from the public for parking near the terminals. When theeconomy was slow in 2009-2010 there may have been unused parking places, but that's no longer true. If there has to be a CONRAC, then build a CONRAC -- and be sure that its entire cost isrecovered from the rental car companies._x000D__x000D_3. Mass transit into the airport must be improved._x000D__x000D_4. Cease the combativeness that we saw with the newspaper vending boxes and are now seeing with Uber.",7/20/2015
54,"I've been mountain biking in the Triangle for more than 15 years. Crabtree Park is an essential recreational resource in the area due to it's location, skill level required, and facilities. It's anunfortunate reality that the land might be commercially developed. If it is developed, and the mountain biking trails are removed, then a comparable or better facility in the same area should bedeveloped. A mountain bike park, with restrooms and adequate parking, on airport or park property would be required - to include trails for all levels of bikers. This would not only benefitthousands of citizens and taxpayers who work or live near RTP, but it would enhance the quality of life in the area, and bring economic benefits as well.",7/20/2015
55,"Dear RDU team:The writer Voltaire famously stated the universal principle “with great power comes great responsibility”. This principle led me to contact you today to talk about the issue of aircraft noise.First of all, I would like to congratulate you on your extraordinary achievements with the Raleigh-Durham Airport. Undoubtedly, the airport as well as the entire metro area around it havebenefited enormously from your work. As a frequent business traveler, I personally use RDU a lot, and I can say that the airport you are responsible for is one of the most sophisticated andefficient ones I have ever seen.In addition to being a heavy user of RDU, however, I am also a concerned resident in a community located within the airport’s area of noise impact. A direct flight path for departures above myhouse has led me into a love-hate relationship with the airport.Only an unreasonable person would not support economic growth or understand the unavoidable consequences of operating an airport. However, it is also easy to fall into the trap of forgettingabout other important aspects of life for the sake of economic growth. Sometimes, the focus on economic growth will even damage the underlying reasons that initiated and sustained thegrowth in the first place - in this case: the high quality of life in Raleigh-Durham.When my wife and I moved into the metro area three years ago, we learned that some of its nicest and most appealing neighborhoods are located in the Morrisville-Cary area. In fact, welearned that the high quality of life in specifically these neighborhoods had contributed significantly to the influx of professional talent into the region and thus to its economic growth. Quality oflife was also the main driver for us in our decision to move into one of these neighborhoods.When we came here, we did expect a certain level of aircraft noise given the proximity to the airport. However, over time, the more we heard about economic growth and expansion, the less weheard about efforts to preserve quality of life for the future. We heard a lot about past achievements and how the noise situation is better now than it was in the 1980’s, but we could not findmuch on what to expect for the future.I once called RDU’s noise officer, and when I told him that continuous aircraft noise had been accepted as a serious threat to health and wellbeing by numerous scientists and airport leaders inEurope for a long time now, he answered “this is America, not Europe.” I never quite understood what exactly he wanted to convey with that, but I was certainly left confused about the level ofimportance that noise will receive in RDU’s plans for the future.In sum, I understand that I live close to the airport. I also understand that the best solution to aircraft noise will be future innovation in jet engine technology, which is something that is not underyour control but will hopefully come to benefit us all soon. However, the question I'd like to ask you is:Can I trust that the issue of aircraft noise will continue to receive the importance it deserves when you make strategic decisions for the future?Best Regards",7/21/2015
56,"Dear RDU team:_x000D_The writer Voltaire famously stated the universal principle â€oewith great power comes great responsibilityâ€•. This principle led me to contact you today to talk about the issue of aircraftnoise._x000D_First of all, I would like to congratulate you on your extraordinary achievements with the Raleigh-Durham Airport. Undoubtedly, the airport as well as the entire metro area around it havebenefited enormously from your work. As a frequent business traveler, I personally use RDU a lot, and I can say that the airport you are responsible for is one of the most sophisticated andefficient ones I have ever seen. _x000D_In addition to being a heavy user of RDU, however, I am also a concerned resident in a community located within the airportâ€™s area of noise impact. A direct flight path for departures abovemy house has led me into a love-hate relationship with the airport._x000D_Only an unreasonable person would not support economic growth or understand the unavoidable consequences of operating an airport. However, it is also easy to fall into the trap of forgettingabout other important aspects of life for the sake of economic growth. Sometimes, the focus on economic growth will even damage the underlying reasons that initiated and sustained thegrowth in the first place - in this case: the high quality of life in Raleigh-Durham._x000D_When my wife and I moved into the metro area three years ago, we learned that some of its nicest and most appealing neighborhoods are located in the Morrisville-Cary area. In fact, welearned that the high quality of life in specifically these neighborhoods had contributed significantly to the influx of professional talent into the region and thus to its economic growth. Quality oflife was also the main driver for us in our decision to move into one of these neighborhoods. _x000D_When we came here, we did expect a certain level of aircraft noise given the proximity to the airport. However, over time, the more we heard about economic growth and expansion, the less weheard about efforts to preserve quality of life for the future. We heard a lot about past achievements and how the noise situation is better now than it was in the 1980â€™s, but we could not findmuch on what to expect for the future._x000D_I once called RDUâ€™s noise officer, and when I told him that continuous aircraft noise had been accepted as a serious threat to health and wellbeing by numerous scientists and airportleaders in Europe for a long time now, he answered â€oethis is America, not Europe.â€• I never quite understood what exactly he wanted to convey with that, but I was certainly left confusedabout the level of importance that noise will receive in RDUâ€™s plans for the future. _x000D_In sum, I understand that I live close to the airport. I also understand that the best solution to aircraft noise will be future innovation in jet engine technology, which is something that is not under",7/21/2015
57,"I travel quite a bit on business and have been to airports around the world. I believe that the facilities at RDU are excellent and are in line with some of the biggest and best airports that I havebeen to.The thing that I would most improve is on the number of direct flights that come in and out of RDU. Too often, I have to transfer at an airline's hub in order to get to where I need to go. Itextends my trip by 3-4 hours at a minimum per trip - time I could use more productively if I had the opportunity to fly directly. Perhaps if there were a way to attract an airline to make RDU moreof a focus city or even emerging hub. I realize that this region would need to grow significantly in order to make that a reality but growth is taking place which is something that cannot be saidabout many of the hubs that airlines have in the Northeast and Midwest. Otherwise, keep doing what you're doing. RDU is an outstanding facility and traveling as much as I do makes thatobvious.",7/23/2015
58,"I travel quite a bit on business and have been to airports around the world. I believe that the facilities at RDU are excellent and are in line with some of the biggest and best airports that I havebeen to. The thing that I would most improve is on the number of direct flights that come in and out of RDU. Too often, I have to transfer at an airline's hub in order to get to where I need to go.It extends my trip by 3-4 hours at a minimum per trip - time I could use more productively if I had the opportunity to fly directly. Perhaps if there were a way to attract an airline to make RDUmore of a focus city or even emerging hub. I realize that this region would need to grow significantly in order to make that a reality but growth is taking place which is something that cannot besaid about many of the hubs that airlines have in the Northeast and Midwest. Otherwise, keep doing what you're doing. RDU is an outstanding facility and traveling as much as I do makes thatobvious.",7/23/2015
59,"I also remember RDU’s Plan B from the 1970s, and other more recent times when adverse impacts to Umstead State Park were not considered in RDU decisions. It seems to me that theprotection of Umstead should be a guiding principle in any planning for RDU and any decision that potentially could adversely impact the park. But, RDU provides no information on its planningprinciples in its documentation. Does RDU have a standing policy about about interactions with and impacts to its biggest neighbor, Umstead? If not, then now is the time. Its the first logicalstep in the planning process. Further, If RDU is interested in exchanging property with Umstead State Park, then it should be reflected in this master planning process. The inventory of RDUlands should immediately be expanded to include land, water and biological characteristics appropriate for consideration of inclusion to a State Park. The maps I have seen as part of SB 486leave out the most appropriate properties for inclusion to the park.",7/24/2015
60,"Need one to our Forbes buddy, Austin.",7/30/2015
61,"@rtatriangle @rduairport Uber, Lyft, and other ride sharing services. replied to rtatriangle",7/30/2015
62,Please send me the notices for the time and place of the meetings of the Policy Advisory Committee.,9/4/2015
63,Please send me the notices for the time and place of the meetings of the Policy Advisory Committee.,9/4/2015
64,"Will RDU be ADS-B compliant by 2020? Are there any plans to move RDU up to Class B airspace? Should you keep runways 14-32 open? Any ideas about lengthening runways 23L-5R?Is there enough ramp space by terminal #1? Should you try to move runway 23L-5R over to give more room? I think the cost would knock this idea out very quickly. Any ideas on how RDU'sdevelopment might effect smaller outlying airports like LHZ, TDF,IGX,TTA,JNX as well as many small private airfields like 8NC8, COX, Triple W, and others. How can RDU make cargotransport more appealing? Is this something you really want? What about the National Guard facilities? Are you including them in your planning? What about connecting up with the proposedlight rail system?",9/30/2015
65,"Will RDU be ADS-B compliant by 2020? Are there any plans to move RDU up to Class B airspace? Should you keep runways 14-32 open? Any ideas about lengthening runways 23L-5R? Isthere enough ramp space by terminal #1? Should you try to move runway 23L-5R over to give more room? I think the cost would knock this idea out very quickly. Any ideas on how RDU'sdevelopment might effect smaller outlying airports like LHZ, TDF,IGX,TTA,JNX as well as many small private airfields like 8NC8, COX, Triple W, and others. How can RDU make cargotransport more appealing? Is this something you really want? What about the National Guard facilities? Are you including them in your planning? What about connecting up with the proposedlight rail system?",9/30/2015
66,I am a big fan of RDU. I am excited to see new carrieres come in. However i am also a big fan of the lake carbtree park with its awesome mountain bike trails. I deeply hope the park will remain.It would be a mistake to as you hardly find a park with so much activities. Oliver Kuffel,10/6/2015
67,Stop the Raleigh-Durham Airport Authority from turning one our local natural jewells into an office park/strip mall. Tell your friends and sign the petition! @torc_nc @flyrdu #savethecrab#greenspace #rtp #rdu #newraleigh #durham #wakecounty #townofcary #townofmorrisville #morrisville #mountainbike #bike #trails #hiking #conservation #dtr #hiking #hikingadventures #trees#outdoors #biketrail #triathlon #lakecrabtree #greenway #lccp #parks #countyparks #umstead #umsteadpark savelakecrabtree,10/6/2015
68,Leave Lake Crabtree alone. Work out deal with State or County to keep it a park!!!!,10/6/2015
69,Please respond with public meeting schedule as it arises.Thank you,10/26/2015
70,Please respond with public meeting schedule as it arises.Thank you,10/26/2015
71,Any updated to the master plan should include the direct connections to the airport via mass transit (i.e light rail) stations at the airport terminal or more regular bus service to surrounding cities.What does the Airport Authority plan to do to improve alternative mass transit infrastructure at the airport?,12/7/2015
72,Any updated to the master plan should include the direct connections to the airport via mass transit (i.e light rail) stations at the airport terminal or more regular bus service to surrounding cities.What does the Airport Authority plan to do to improve alternative mass transit infrastructure at the airport?,12/7/2015
73,I would love to see an area that’s suitable for families to wait…with vending (healthy) food available but also some kind of structure to let kids get energy out before the flight. They have them ina few airports we have travelled to and my flight is always better because of that.,12/29/2015
74,@RDUAirport you don't need consultants you need more parking - where do I send my consulting invoice? ;) MilesAbound,12/29/2015
75,@RDUAirport security line way understaffed. Ridiculous. replied to RDUAirport 16 minutes ago twitter @RDUAirport need 2 improve Self check in kiosks.2 close 2 agents.Folks in line betweenthem. Mayhem.Awful enough I try 2 fly,12/29/2015
76,@WakeGOV @RDUAirport Hopefully the Master Plan includes more wide bodies at @RDUAirport,1/14/2016
77,"I have head that you are siting another quarry off of Old Reedy Creek Road. Of all of the things that you consider doing with your land, please do not consider another quarry. That land is sorich in wildlife and natural beauty. there is so much destruction associated with quarries. The problem is where it is located. People from all of the surrounding counties use the parks and landfor outdoor recreation. Please consider doing something that provides for a better quality of life to residents.",1/20/2016
78,"To the 2040 Team, _x000D__x000D_You had a drill rig and a bobcat on Old Reedy Creek Road on Monday of last week sampling the area for potential quarrying. We are home owners whose property shares a boundary withairport property on Old Reedy Creek Rd. I have to admit, I'm not impressed with the idea of living next to a rock quarry. We can already hear the dynamiting at the current quarry through theforest every day around noon. I can't imagine what this would sound like right next door to our home. We will have no way to avoid the dust, heavy equipment, noise and explosives. We areopposed to the idea of adding a quarry to Old Reedy Creek property, and I'm fairly certain the local users of Umstead State Park and Old Reedy Creek Rd will be as well. We moved here toenjoy the natural beauty of the area and to be close to the park. The peacefulness of our lives will be ruined. Our property value will plummet. The noise and dust will create an unhealthy livingenvironment and the natural beauty of the area will be destroyed. _x000D__x000D_I truly hope what I've heard is a terrible rumor not based in fact. My understanding was the 2040 plans were going to attempt to be conscious of the the environment. How is one more rockquarry next to private property and near a main vein into the state park being cognizant of the environment and those who live and play within it?",1/24/2016
79,OUR version of @RDUAirport's #rdu2040 plan. #ncbeer #beerandsausage #Cheers #drunktown #yourewelcome https://twitter.com/Adam12Sweathog/status/692485871606571009 1007WRDU,1/26/2016
80,"The availability of information on the Vision 2040 project is shameful. It consists on only dates/venues, and no information of substance i.e. draft plans for review, etc. I could find no history ofpast planning, presentations, etc. such as the meetings last year._x000D_For a publicly funded study a better job of Outreach and information delivery should be expected. This should be the responsibility of the RDU agency, not media after the fact.",1/26/2016
81,"Lose the moving walkways, replace 'em with more bars serving more beers. Cheap, easy, doable by #rdu2020! RDU Int'l Airport @RDUAirport Learn more about #rdu2040 at bit.ly/1KG4D7q. Ifyou can't come out tonight, we'll be at 711 Hillsborough St. tomorrow at 6p. Adam12Sweathog",1/27/2016
82,Any information about RDU should be made available to adjacent landowners - Some of us are not computer savvy.,1/27/2016
83,I will not be able to attend the workshops but would like to be included on future mailing and meetings.,1/27/2016
84,@RDUAirport are there plans to link the two terminals and allow exchange behind security rather than strolling outside and re-entering TSA?,1/28/2016
85,@RDUAirport Don't forget pilots of those Cessna planes. We love RDU too! N1221W,1/28/2016
86,No Comment Given,1/28/2016
87,No Comment Given,1/28/2016
88,"In Terms of land use on the airport property, please consider preservation of Lake Crabtree County Park as an amenity for the community. It is virtually irreplaceable du to location/ proximity toRTP, Raleigh, Durham, and Chapel Hill. Thank You!",1/28/2016
89,Shouldn't we be worried more about the increase in emissions from more traffic to the airport which will lead to more flights? How do we offset all these emissions? Is that RDU's responsibility?,1/28/2016
90,"Planning for future public transit expanded services should be a priority in the plan. Not only bus services, but also for future connection of commuter rail. The public wants easy transit access(and frequent).",1/28/2016
91,"Land Swap - -Last legislative session -Why will this come up again? -What was trying to be achieved Use of Authority property as park - -Extend the land lease terms beyond 1-year -Maintainpark and water access as-is or -Sale to municipality -Recreation facilities - ""build buildings somewhere else"" Please for the love of God run multiple busses to the airport - I want to take publictransportation to and from this airport. I would happily give up all roadway and parking improvement and rental cars. Right now you have no choice but to drive and that is embarrassing.",1/28/2016
92,"@paddy2me The study has not progressed to that point as of yet. Development alternatives are being discussed & will be presented in Spring. an hour ago @RDUAirport it is a ""pretty""PowerPoint slide. Doesn't tell me",1/29/2016
93,"I read in the Herald-Sun newspaper that Mr. Landguth said that engineers have determined that the runway ""5L/23R"" has reached the end of its ""useful life"" and RDU was consideringreconstruction. Is this a mistake or a typo? Don't you really mean runway 5R/23L which is the original runway built in the early forties? Please clarify this for me. Thanks",1/29/2016
